エリア,対象分類,2月1日,2月2日,2月3日,2月4日,2月5日,2月6日,2月7日,2月8日,2月9日,2月10日,2月11日,2月12日,2月13日,2月14日,2月15日,2月16日,2月17日,2月18日,2月19日,2月20日,2月21日,2月22日,2月23日,2月24日,2月25日,2月26日,2月27日,2月28日,2月29日,3月1日,3月2日,3月3日,3月4日,3月5日,3月6日,3月7日,3月8日,3月9日,3月10日,3月11日,3月12日,3月13日,3月14日,3月15日,3月16日,3月17日,3月18日,3月19日,3月20日,3月21日,3月22日,3月23日,3月24日,3月25日,3月26日,3月27日,3月28日,3月29日,3月30日,3月31日,4月1日,4月2日,4月3日,4月4日,4月5日,4月6日,4月7日,4月8日
中野区,全体,487000,460000,550000,551000,549000,554000,555000,484000,456000,543000,463000,547000,550000,554000,485000,451000,548000,547000,545000,546000,550000,481000,457000,456000,546000,542000,540000,542000,466000,442000,530000,531000,524000,530000,531000,461000,435000,530000,526000,526000,529000,533000,458000,444000,531000,534000,532000,537000,466000,471000,449000,534000,536000,533000,536000,528000,444000,414600,520000,519000,506000,510000,510000,438000,415600,507000,499000,482000
中野区,住人,321000,321000,321000,321000,321000,321000,321000,321000,321000,321000,321000,321000,321000,321000,321000,321000,321000,321000,321000,321000,321000,321000,321000,321000,321000,321000,321000,321000,321000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,321000,321000,321000,321000,321000,321000,321000,321000
中野区,来訪者,166000,139000,229000,230000,228000,233000,234000,163000,135000,222000,142000,226000,229000,233000,164000,130000,227000,226000,224000,225000,229000,160000,136000,135000,225000,221000,219000,221000,145000,120000,208000,209000,202000,208000,209000,139000,113000,208000,204000,204000,207000,211000,136000,122000,209000,212000,210000,215000,144000,149000,127000,212000,214000,211000,214000,206000,122000,92600,198000,197000,185000,189000,189000,117000,94600,186000,178000,161000
杉並区,全体,711000,686000,754000,755000,754000,758000,759000,710000,683000,749000,689000,754000,754000,761000,712000,679000,755000,754000,749000,754000,759000,708000,685000,686000,752000,752000,749000,752000,698000,671000,740000,744000,736000,742000,746000,693000,665000,742000,738000,740000,744000,748000,689000,676000,744000,745000,746000,750000,701000,706000,681000,745000,746000,746000,748000,745000,677000,645300,735000,733000,721000,726000,729000,673000,649400,725000,719000,706000
杉並区,住人,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,551000,551000,551000,551000,551000,551000,551000,551000
杉並区,来訪者,160000,135000,203000,204000,203000,207000,208000,159000,132000,198000,138000,203000,203000,210000,161000,128000,204000,203000,198000,203000,208000,157000,134000,135000,201000,201000,198000,201000,147000,119000,188000,192000,184000,190000,194000,141000,113000,190000,186000,188000,192000,196000,137000,124000,192000,193000,194000,198000,149000,154000,129000,193000,194000,194000,196000,193000,125000,93300,183000,181000,170000,175000,178000,122000,98400,174000,168000,155000
豊島区,全体,484000,449000,578000,581000,578000,582000,586000,481000,444000,570000,458000,578000,578000,585000,484000,440000,574000,575000,574000,574000,580000,476000,442000,444000,572000,569000,568000,572000,461000,426000,558000,559000,548000,556000,560000,453000,417000,556000,555000,553000,558000,562000,448000,427000,561000,562000,560000,568000,459000,461000,433000,562000,566000,563000,561000,554000,423000,385000,542000,543000,531000,532000,533000,414000,382000,527000,518000,492000
豊島区,住人,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,277000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,277000,277000,277000,277000,277000,277000,277000,277000
豊島区,来訪者,207000,172000,301000,304000,301000,305000,309000,204000,167000,293000,181000,301000,301000,308000,207000,163000,297000,298000,297000,297000,303000,199000,165000,167000,295000,292000,291000,295000,184000,148000,280000,281000,270000,278000,282000,175000,139000,278000,277000,275000,280000,284000,170000,149000,283000,284000,282000,290000,181000,183000,155000,284000,288000,285000,283000,276000,145000,107000,264000,265000,254000,255000,256000,137000,105000,250000,241000,215000
北区,全体,497000,470000,546000,548000,547000,549000,551000,495000,466000,540000,477000,548000,549000,552000,496000,462000,545000,544000,547000,546000,550000,492000,466000,469000,544000,544000,542000,544000,480000,456000,533000,534000,530000,533000,535000,474000,449000,533000,530000,534000,534000,537000,471000,457000,536000,536000,538000,541000,481000,484000,464000,536000,539000,539000,537000,532000,461000,431000,525000,525000,517000,519000,521000,458000,434200,518000,512000,502000
